"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-04-16 00:00:00",31,21,57.42857142857143,
"2019-04-17 00:00:00",33,15,56.285714285714285,
"2019-04-18 00:00:00",35,22,54.714285714285715,
"2019-04-19 00:00:00",41,16,55,
"2019-04-20 00:00:00",46,18,55,
"2019-04-21 00:00:00",34,18,53.142857142857146,
"2019-04-22 00:00:00",48,15,56.142857142857146,
"2019-04-23 00:00:00",38,15,56.285714285714285,
"2019-04-24 00:00:00",28,20,56.285714285714285,
"2019-04-25 00:00:00",45,24,58,
"2019-04-26 00:00:00",31,19,57,
"2019-04-27 00:00:00",42,20,56.714285714285715,
"2019-04-28 00:00:00",43,16,57.714285714285715,
"2019-04-29 00:00:00",35,17,56.142857142857146,
"2019-04-30 00:00:00",31,15,55.142857142857146,
"2019-05-01 00:00:00",31,20,55.57142857142857,
"2019-05-02 00:00:00",38,13,53,
"2019-05-03 00:00:00",33,18,53.142857142857146,
"2019-05-04 00:00:00",44,12,52.285714285714285,
"2019-05-05 00:00:00",38,25,52.857142857142854,
"2019-05-06 00:00:00",25,21,52,
"2019-05-07 00:00:00",34,16,52.57142857142857,
"2019-05-08 00:00:00",34,17,52.57142857142857,
"2019-05-09 00:00:00",42,12,53,
"2019-05-10 00:00:00",23,16,51.285714285714285,
"2019-05-11 00:00:00",40,17,51.42857142857143,
"2019-05-12 00:00:00",37,17,50.142857142857146,
"2019-05-13 00:00:00",32,17,50.57142857142857,
"2019-05-14 00:00:00",41,14,51.285714285714285,
"2019-05-15 00:00:00",37,18,51.857142857142854,
"2019-05-16 00:00:00",26,23,51.142857142857146,
"2019-05-17 00:00:00",31,12,51.714285714285715,
"2019-05-18 00:00:00",37,27,52.714285714285715,
"2019-05-19 00:00:00",44,17,53.714285714285715,
"2019-05-20 00:00:00",36,13,53.714285714285715,
"2019-05-21 00:00:00",29,24,53.42857142857143,
"2019-05-22 00:00:00",39,21,54.142857142857146,
"2019-05-23 00:00:00",31,13,53.42857142857143,
"2019-05-24 00:00:00",34,20,55,
"2019-05-25 00:00:00",46,14,54.42857142857143,
"2019-05-26 00:00:00",39,17,53.714285714285715,
"2019-05-27 00:00:00",35,17,54.142857142857146,
"2019-05-28 00:00:00",30,18,53.42857142857143,
"2019-05-29 00:00:00",36,11,51.57142857142857,
"2019-05-30 00:00:00",28,15,51.42857142857143,
"2019-05-31 00:00:00",27,19,50.285714285714285,
"2019-06-01 00:00:00",24,12,46.857142857142854,
"2019-06-02 00:00:00",36,24,47.42857142857143,
"2019-06-03 00:00:00",28,20,46.857142857142854,
"2019-06-04 00:00:00",39,21,48.57142857142857,
"2019-06-05 00:00:00",30,16,48.42857142857143,
"2019-06-06 00:00:00",37,13,49.42857142857143,
"2019-06-07 00:00:00",38,11,49.857142857142854,
"2019-06-08 00:00:00",44,15,53.142857142857146,
"2019-06-09 00:00:00",29,19,51.42857142857143,
"2019-06-10 00:00:00",42,13,52.42857142857143,
"2019-06-11 00:00:00",41,17,52.142857142857146,
"2019-06-12 00:00:00",30,16,52.142857142857146,
"2019-06-13 00:00:00",25,16,50.857142857142854,
"2019-06-14 00:00:00",34,16,51,
"2019-06-15 00:00:00",36,17,50.142857142857146,
"2019-06-16 00:00:00",33,19,50.714285714285715,
"2019-06-17 00:00:00",26,14,48.57142857142857,
"2019-06-18 00:00:00",32,13,46.714285714285715,
"2019-06-19 00:00:00",27,22,47.142857142857146,
"2019-06-20 00:00:00",35,17,48.714285714285715,
"2019-06-21 00:00:00",32,17,48.57142857142857,
"2019-06-22 00:00:00",52,20,51.285714285714285,
"2019-06-23 00:00:00",36,14,51,
"2019-06-24 00:00:00",44,15,53.714285714285715,
"2019-06-25 00:00:00",44,23,56.857142857142854,
"2019-06-26 00:00:00",38,17,57.714285714285715,
"2019-06-27 00:00:00",40,22,59.142857142857146,
"2019-06-28 00:00:00",30,13,58.285714285714285,
"2019-06-29 00:00:00",25,14,53.57142857142857,
"2019-06-30 00:00:00",38,13,53.714285714285715,
"2019-07-01 00:00:00",28,18,51.857142857142854,
"2019-07-02 00:00:00",34,17,49.57142857142857,
"2019-07-03 00:00:00",33,14,48.42857142857143,
"2019-07-04 00:00:00",46,17,48.57142857142857,
"2019-07-05 00:00:00",38,15,50,
"2019-07-06 00:00:00",33,18,51.714285714285715,
"2019-07-07 00:00:00",32,15,51.142857142857146,
"2019-07-08 00:00:00",36,10,51.142857142857146,
"2019-07-09 00:00:00",32,16,50.714285714285715,
"2019-07-10 00:00:00",34,20,51.714285714285715,
"2019-07-11 00:00:00",32,13,49.142857142857146,
"2019-07-12 00:00:00",30,25,49.42857142857143,
"2019-07-13 00:00:00",50,23,52.57142857142857,
"2019-07-14 00:00:00",35,20,53.714285714285715,
"2019-07-15 00:00:00",52,20,57.42857142857143,
"2019-07-16 00:00:00",36,13,57.57142857142857,
"2019-07-17 00:00:00",28,12,55.57142857142857,
"2019-07-18 00:00:00",43,15,57.42857142857143,
"2019-07-19 00:00:00",40,17,57.714285714285715,
"2019-07-20 00:00:00",37,14,54.57142857142857,
"2019-07-21 00:00:00",46,16,55.57142857142857,
"2019-07-22 00:00:00",42,13,53.142857142857146,
"2019-07-23 00:00:00",36,16,53.57142857142857,
"2019-07-24 00:00:00",36,17,55.42857142857143,
"2019-07-25 00:00:00",30,12,53.142857142857146,
"2019-07-26 00:00:00",26,13,50.57142857142857,
"2019-07-27 00:00:00",57,13,53.285714285714285,
"2019-07-28 00:00:00",44,26,54.42857142857143,
"2019-07-29 00:00:00",38,19,54.714285714285715,
"2019-07-30 00:00:00",55,14,57.142857142857146,
"2019-07-31 00:00:00",39,19,57.857142857142854,
"2019-08-01 00:00:00",32,17,58.857142857142854,
"2019-08-02 00:00:00",33,21,61,
"2019-08-03 00:00:00",46,20,60.42857142857143,
"2019-08-04 00:00:00",38,10,57.285714285714285,
"2019-08-05 00:00:00",47,15,58,
"2019-08-06 00:00:00",38,19,56.285714285714285,
"2019-08-07 00:00:00",48,16,57.142857142857146,
"2019-08-08 00:00:00",25,22,56.857142857142854,
"2019-08-09 00:00:00",41,16,57.285714285714285,
"2019-08-10 00:00:00",50,14,57,
"2019-08-11 00:00:00",34,14,57,
"2019-08-12 00:00:00",27,15,54.142857142857146,
"2019-08-13 00:00:00",48,17,55.285714285714285,
"2019-08-14 00:00:00",37,16,53.714285714285715,
"2019-08-15 00:00:00",31,18,54,
"2019-08-16 00:00:00",33,12,52.285714285714285,
"2019-08-17 00:00:00",48,15,52.142857142857146,
"2019-08-18 00:00:00",36,14,52.42857142857143,
"2019-08-19 00:00:00",43,14,54.57142857142857,
"2019-08-20 00:00:00",45,24,55.142857142857146,
"2019-08-21 00:00:00",38,21,56,
"2019-08-22 00:00:00",37,18,56.857142857142854,
"2019-08-23 00:00:00",37,19,58.42857142857143,
"2019-08-24 00:00:00",42,16,57.714285714285715,
"2019-08-25 00:00:00",24,16,56.285714285714285,
"2019-08-26 00:00:00",32,16,55,
"2019-08-27 00:00:00",40,13,52.714285714285715,
"2019-08-28 00:00:00",39,11,51.42857142857143,
"2019-08-29 00:00:00",42,13,51.42857142857143,
"2019-08-30 00:00:00",49,21,53.42857142857143,
"2019-08-31 00:00:00",45,20,54.42857142857143,
"2019-09-01 00:00:00",37,14,56,
"2019-09-02 00:00:00",30,24,56.857142857142854,
"2019-09-03 00:00:00",34,20,57,
"2019-09-04 00:00:00",34,20,57.57142857142857,
"2019-09-05 00:00:00",43,12,57.57142857142857,
"2019-09-06 00:00:00",30,16,54.142857142857146,
"2019-09-07 00:00:00",39,14,52.42857142857143,
"2019-09-08 00:00:00",42,20,54,
"2019-09-09 00:00:00",31,11,52.285714285714285,
"2019-09-10 00:00:00",41,16,52.714285714285715,
"2019-09-11 00:00:00",25,16,50.857142857142854,
"2019-09-12 00:00:00",41,15,51,
"2019-09-13 00:00:00",42,20,53.285714285714285,
"2019-09-14 00:00:00",41,12,53.285714285714285,
"2019-09-15 00:00:00",28,24,51.857142857142854,
"2019-09-16 00:00:00",26,23,52.857142857142854,
"2019-09-17 00:00:00",46,10,52.714285714285715,
"2019-09-18 00:00:00",37,17,54.57142857142857,
"2019-09-19 00:00:00",34,18,54,
"2019-09-20 00:00:00",39,21,53.714285714285715,
"2019-09-21 00:00:00",48,15,55.142857142857146,
"2019-09-22 00:00:00",28,18,54.285714285714285,
"2019-09-23 00:00:00",33,19,54.714285714285715,
"2019-09-24 00:00:00",36,16,54.142857142857146,
"2019-09-25 00:00:00",35,21,54.42857142857143,
"2019-09-26 00:00:00",37,15,54.42857142857143,
"2019-09-27 00:00:00",37,14,53.142857142857146,
"2019-09-28 00:00:00",37,17,51.857142857142854,
"2019-09-29 00:00:00",46,16,54.142857142857146,
"2019-09-30 00:00:00",45,13,55,
"2019-10-01 00:00:00",41,21,56.42857142857143,
"2019-10-02 00:00:00",27,15,54.42857142857143,
"2019-10-03 00:00:00",35,21,55,
"2019-10-04 00:00:00",30,20,54.857142857142854,
"2019-10-05 00:00:00",40,15,55,
"2019-10-06 00:00:00",34,23,54.285714285714285,
"2019-10-07 00:00:00",33,15,52.857142857142854,
"2019-10-08 00:00:00",37,19,52,
"2019-10-09 00:00:00",37,19,54,
"2019-10-10 00:00:00",31,14,52.42857142857143,
"2019-10-11 00:00:00",34,13,52,
"2019-10-12 00:00:00",43,19,53,
"2019-10-13 00:00:00",46,10,52.857142857142854,
"2019-10-14 00:00:00",35,19,53.714285714285715,
"2019-10-15 00:00:00",36,15,53,
"2019-10-16 00:00:00",39,22,53.714285714285715,
"2019-10-17 00:00:00",39,17,55.285714285714285,
"2019-10-18 00:00:00",26,23,55.57142857142857,
"2019-10-19 00:00:00",36,22,55,
"2019-10-20 00:00:00",39,17,55,
"2019-10-21 00:00:00",40,24,56.42857142857143,
"2019-10-22 00:00:00",36,19,57,
"2019-10-23 00:00:00",42,22,57.42857142857143,
"2019-10-24 00:00:00",30,17,56.142857142857146,
"2019-10-25 00:00:00",29,14,55.285714285714285,
"2019-10-26 00:00:00",47,27,57.57142857142857,
"2019-10-27 00:00:00",37,13,56.714285714285715,
"2019-10-28 00:00:00",42,15,55.714285714285715,
"2019-10-29 00:00:00",36,20,55.857142857142854,
"2019-10-30 00:00:00",34,19,54.285714285714285,
"2019-10-31 00:00:00",39,24,56.57142857142857,
"2019-11-01 00:00:00",30,15,56.857142857142854,
"2019-11-02 00:00:00",37,14,53.57142857142857,
"2019-11-03 00:00:00",43,16,54.857142857142854,
"2019-11-04 00:00:00",39,25,55.857142857142854,
"2019-11-05 00:00:00",28,20,54.714285714285715,
"2019-11-06 00:00:00",53,19,57.42857142857143,
"2019-11-07 00:00:00",25,19,54.714285714285715,
"2019-11-08 00:00:00",33,12,54.714285714285715,
"2019-11-09 00:00:00",38,17,55.285714285714285,
"2019-11-10 00:00:00",39,18,55,
"2019-11-11 00:00:00",33,18,53.142857142857146,
"2019-11-12 00:00:00",33,19,53.714285714285715,
"2019-11-13 00:00:00",42,18,52,
"2019-11-14 00:00:00",34,15,52.714285714285715,
"2019-11-15 00:00:00",43,20,55.285714285714285,
"2019-11-16 00:00:00",35,19,55.142857142857146,
"2019-11-17 00:00:00",40,18,55.285714285714285,
"2019-11-18 00:00:00",32,28,56.57142857142857,
"2019-11-19 00:00:00",42,24,58.57142857142857,
"2019-11-20 00:00:00",29,18,56.714285714285715,
"2019-11-21 00:00:00",35,23,58,
"2019-11-22 00:00:00",38,24,57.857142857142854,
"2019-11-23 00:00:00",35,15,57.285714285714285,
"2019-11-24 00:00:00",38,17,56.857142857142854,
"2019-11-25 00:00:00",31,22,55.857142857142854,
"2019-11-26 00:00:00",30,17,53.142857142857146,
"2019-11-27 00:00:00",41,16,54.57142857142857,
"2019-11-28 00:00:00",28,12,52,
"2019-11-29 00:00:00",30,19,50.142857142857146,
"2019-11-30 00:00:00",36,20,51,
"2019-12-01 00:00:00",37,20,51.285714285714285,
"2019-12-02 00:00:00",25,25,50.857142857142854,
"2019-12-03 00:00:00",34,22,52.142857142857146,
"2019-12-04 00:00:00",29,14,50.142857142857146,
"2019-12-05 00:00:00",31,22,52,
"2019-12-06 00:00:00",32,15,51.714285714285715,
"2019-12-07 00:00:00",33,20,51.285714285714285,
"2019-12-08 00:00:00",38,13,50.42857142857143,
"2019-12-09 00:00:00",38,15,50.857142857142854,
"2019-12-10 00:00:00",40,20,51.42857142857143,
"2019-12-11 00:00:00",27,26,52.857142857142854,
"2019-12-12 00:00:00",31,11,51.285714285714285,
"2019-12-13 00:00:00",32,17,51.57142857142857,
"2019-12-14 00:00:00",42,17,52.42857142857143,
"2019-12-15 00:00:00",51,20,55.285714285714285,
"2019-12-16 00:00:00",37,24,56.42857142857143,
"2019-12-17 00:00:00",40,19,56.285714285714285,
"2019-12-18 00:00:00",39,18,56.857142857142854,
"2019-12-19 00:00:00",34,17,58.142857142857146,
"2019-12-20 00:00:00",37,23,59.714285714285715,
"2019-12-21 00:00:00",43,22,60.57142857142857,
"2019-12-22 00:00:00",41,10,57.714285714285715,
"2019-12-23 00:00:00",24,16,54.714285714285715,
"2019-12-24 00:00:00",48,29,57.285714285714285,
"2019-12-25 00:00:00",26,23,56.142857142857146,
"2019-12-26 00:00:00",39,23,57.714285714285715,
"2019-12-27 00:00:00",37,21,57.42857142857143,
"2019-12-28 00:00:00",33,18,55.42857142857143,
"2019-12-29 00:00:00",35,18,55.714285714285715,
"2019-12-30 00:00:00",30,19,57,
"2019-12-31 00:00:00",37,14,53.285714285714285,
"2020-01-01 00:00:00",32,14,52.857142857142854,
"2020-01-02 00:00:00",26,24,51.142857142857146,57.5
"2020-01-03 00:00:00",44,17,51.57142857142857,58
"2020-01-04 00:00:00",47,18,53.57142857142857,55.25
"2020-01-05 00:00:00",46,17,55,59.4
"2020-01-06 00:00:00",32,19,55.285714285714285,58.333333333333336
"2020-01-07 00:00:00",40,15,55.857142857142854,58.714285714285715
"2020-01-08 00:00:00",28,17,55.714285714285715,58.142857142857146
"2020-01-09 00:00:00",29,14,54.714285714285715,56.57142857142857
"2020-01-10 00:00:00",45,23,55.714285714285715,54.285714285714285
"2020-01-11 00:00:00",36,17,54,55.57142857142857
"2020-01-12 00:00:00",40,20,53.57142857142857,50.57142857142857
"2020-01-13 00:00:00",34,11,52.714285714285715,49.857142857142854
"2020-01-14 00:00:00",33,13,51.42857142857143,48.142857142857146
"2020-01-15 00:00:00",43,20,54,47.857142857142854
"2020-01-16 00:00:00",29,16,54.285714285714285,49.857142857142854
"2020-01-17 00:00:00",50,12,53.42857142857143,50.285714285714285
"2020-01-18 00:00:00",37,19,53.857142857142854,49.42857142857143
"2020-01-19 00:00:00",36,18,53,51.57142857142857
"2020-01-20 00:00:00",27,19,53.142857142857146,52.57142857142857
"2020-01-21 00:00:00",34,17,53.857142857142854,51
"2020-01-22 00:00:00",43,11,52.57142857142857,51
"2020-01-23 00:00:00",40,13,53.714285714285715,49.142857142857146
"2020-01-24 00:00:00",26,26,52.285714285714285,48.42857142857143
"2020-01-25 00:00:00",34,22,52.285714285714285,46
"2020-01-26 00:00:00",44,18,53.42857142857143,47.857142857142854
"2020-01-27 00:00:00",35,9,53.142857142857146,46.142857142857146
"2020-01-28 00:00:00",31,18,52.857142857142854,47.857142857142854
"2020-01-29 00:00:00",35,17,52.57142857142857,48.142857142857146
"2020-01-30 00:00:00",29,23,52.42857142857143,47.714285714285715
"2020-01-31 00:00:00",28,19,51.714285714285715,50.714285714285715
"2020-02-01 00:00:00",41,12,51.285714285714285,53.285714285714285
"2020-02-02 00:00:00",31,14,48.857142857142854,51.285714285714285
"2020-02-03 00:00:00",33,15,49.42857142857143,53.714285714285715
"2020-02-04 00:00:00",35,16,49.714285714285715,54.57142857142857
"2020-02-05 00:00:00",38,17,50.142857142857146,54.285714285714285
"2020-02-06 00:00:00",42,17,51.142857142857146,55
"2020-02-07 00:00:00",42,22,53.57142857142857,53
"2020-02-08 00:00:00",47,15,54.857142857142854,51.285714285714285
"2020-02-09 00:00:00",46,18,57.57142857142857,50.857142857142854
