"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-04-15 00:00:00",34,11,49.714285714285715,
"2019-04-16 00:00:00",30,8,46.57142857142857,
"2019-04-17 00:00:00",32,7,45.42857142857143,
"2019-04-18 00:00:00",42,9,43.857142857142854,
"2019-04-19 00:00:00",31,13,42.285714285714285,
"2019-04-20 00:00:00",32,9,43.142857142857146,
"2019-04-21 00:00:00",27,13,42.57142857142857,
"2019-04-22 00:00:00",26,13,41.714285714285715,
"2019-04-23 00:00:00",45,10,44.142857142857146,
"2019-04-24 00:00:00",37,8,45,
"2019-04-25 00:00:00",40,11,45,
"2019-04-26 00:00:00",32,15,45.42857142857143,
"2019-04-27 00:00:00",36,11,46.285714285714285,
"2019-04-28 00:00:00",33,4,45.857142857142854,
"2019-04-29 00:00:00",36,14,47.42857142857143,
"2019-04-30 00:00:00",39,11,46.714285714285715,
"2019-05-01 00:00:00",42,6,47.142857142857146,
"2019-05-02 00:00:00",27,10,45.142857142857146,
"2019-05-03 00:00:00",25,10,43.42857142857143,
"2019-05-04 00:00:00",29,10,42.285714285714285,
"2019-05-05 00:00:00",39,8,43.714285714285715,
"2019-05-06 00:00:00",45,10,44.42857142857143,
"2019-05-07 00:00:00",40,14,45,
"2019-05-08 00:00:00",38,15,45.714285714285715,
"2019-05-09 00:00:00",30,11,46.285714285714285,
"2019-05-10 00:00:00",28,11,46.857142857142854,
"2019-05-11 00:00:00",44,11,49.142857142857146,
"2019-05-12 00:00:00",23,6,46.57142857142857,
"2019-05-13 00:00:00",35,7,44.714285714285715,
"2019-05-14 00:00:00",35,12,43.714285714285715,
"2019-05-15 00:00:00",30,9,41.714285714285715,
"2019-05-16 00:00:00",32,18,43,
"2019-05-17 00:00:00",43,13,45.42857142857143,
"2019-05-18 00:00:00",31,12,43.714285714285715,
"2019-05-19 00:00:00",47,15,48.42857142857143,
"2019-05-20 00:00:00",31,8,48,
"2019-05-21 00:00:00",31,10,47.142857142857146,
"2019-05-22 00:00:00",38,7,48,
"2019-05-23 00:00:00",36,12,47.714285714285715,
"2019-05-24 00:00:00",39,8,46.42857142857143,
"2019-05-25 00:00:00",37,12,47.285714285714285,
"2019-05-26 00:00:00",24,18,44.42857142857143,
"2019-05-27 00:00:00",35,6,44.714285714285715,
"2019-05-28 00:00:00",33,8,44.714285714285715,
"2019-05-29 00:00:00",37,14,45.57142857142857,
"2019-05-30 00:00:00",53,13,48.142857142857146,
"2019-05-31 00:00:00",41,16,49.57142857142857,
"2019-06-01 00:00:00",26,12,48,
"2019-06-02 00:00:00",40,14,49.714285714285715,
"2019-06-03 00:00:00",45,7,51.285714285714285,
"2019-06-04 00:00:00",52,12,54.57142857142857,
"2019-06-05 00:00:00",27,8,52.285714285714285,
"2019-06-06 00:00:00",20,13,47.57142857142857,
"2019-06-07 00:00:00",39,8,46.142857142857146,
"2019-06-08 00:00:00",37,20,48.857142857142854,
"2019-06-09 00:00:00",52,11,50.142857142857146,
"2019-06-10 00:00:00",40,12,50.142857142857146,
"2019-06-11 00:00:00",31,7,46.42857142857143,
"2019-06-12 00:00:00",24,8,46,
"2019-06-13 00:00:00",45,9,49,
"2019-06-14 00:00:00",53,9,51.142857142857146,
"2019-06-15 00:00:00",37,11,49.857142857142854,
"2019-06-16 00:00:00",44,12,48.857142857142854,
"2019-06-17 00:00:00",42,14,49.42857142857143,
"2019-06-18 00:00:00",50,8,52.285714285714285,
"2019-06-19 00:00:00",37,10,54.42857142857143,
"2019-06-20 00:00:00",37,14,54,
"2019-06-21 00:00:00",29,15,51.42857142857143,
"2019-06-22 00:00:00",26,6,49.142857142857146,
"2019-06-23 00:00:00",46,21,50.714285714285715,
"2019-06-24 00:00:00",52,16,52.42857142857143,
"2019-06-25 00:00:00",31,12,50.285714285714285,
"2019-06-26 00:00:00",46,12,51.857142857142854,
"2019-06-27 00:00:00",46,8,52.285714285714285,
"2019-06-28 00:00:00",29,16,52.42857142857143,
"2019-06-29 00:00:00",37,15,55.285714285714285,
"2019-06-30 00:00:00",47,11,54,
"2019-07-01 00:00:00",32,9,50.142857142857146,
"2019-07-02 00:00:00",29,8,49.285714285714285,
"2019-07-03 00:00:00",43,11,48.714285714285715,
"2019-07-04 00:00:00",43,6,48,
"2019-07-05 00:00:00",29,10,47.142857142857146,
"2019-07-06 00:00:00",42,12,47.42857142857143,
"2019-07-07 00:00:00",28,5,43.857142857142854,
"2019-07-08 00:00:00",38,17,45.857142857142854,
"2019-07-09 00:00:00",30,15,47,
"2019-07-10 00:00:00",49,13,48.142857142857146,
"2019-07-11 00:00:00",42,13,49,
"2019-07-12 00:00:00",50,11,52.142857142857146,
"2019-07-13 00:00:00",49,17,53.857142857142854,
"2019-07-14 00:00:00",47,12,57.57142857142857,
"2019-07-15 00:00:00",39,18,57.857142857142854,
"2019-07-16 00:00:00",35,11,58,
"2019-07-17 00:00:00",43,10,56.714285714285715,
"2019-07-18 00:00:00",42,12,56.57142857142857,
"2019-07-19 00:00:00",36,6,53.857142857142854,
"2019-07-20 00:00:00",31,9,50.142857142857146,
"2019-07-21 00:00:00",49,13,50.57142857142857,
"2019-07-22 00:00:00",43,17,51,
"2019-07-23 00:00:00",36,11,51.142857142857146,
"2019-07-24 00:00:00",31,10,49.42857142857143,
"2019-07-25 00:00:00",41,9,48.857142857142854,
"2019-07-26 00:00:00",31,10,48.714285714285715,
"2019-07-27 00:00:00",48,19,52.57142857142857,
"2019-07-28 00:00:00",54,13,53.285714285714285,
"2019-07-29 00:00:00",51,16,54.285714285714285,
"2019-07-30 00:00:00",37,7,53.857142857142854,
"2019-07-31 00:00:00",34,6,53.714285714285715,
"2019-08-01 00:00:00",41,11,54,
"2019-08-02 00:00:00",36,14,55.285714285714285,
